,date,incidence
661,2022-09-05,0.0
662,2022-09-12,0.0
663,2022-09-19,0.0
664,2022-09-26,0.0
665,2022-10-03,0.0
666,2022-10-10,0.0
667,2022-10-17,0.0
668,2022-10-24,0.0
669,2022-10-31,0.0
670,2022-11-07,0.0
671,2022-11-14,0.0
672,2022-11-21,0.0
673,2022-11-28,1390.0
674,2022-12-05,6415.0
675,2022-12-12,
676,2022-12-19,10754.0
677,2022-12-26,
678,2023-01-02,2514.0
679,2023-01-09,6182.0
680,2023-01-16,3606.0
681,2023-01-23,1888.0
682,2023-01-30,2471.0
683,2023-02-06,319.0
684,2023-02-13,386.0
685,2023-02-20,244.0
686,2023-02-27,197.0
687,2023-03-06,0.0
688,2023-03-13,0.0
689,2023-03-20,0.0
690,2023-03-27,0.0
