incidence,prevalence,susceptible
100.0,10.0,500000.0
7.0,10.7,499993.0
7.489895139999999,101.448989514,499985.51010486
71.01223468049183,104.85021298204919,499914.49787017953
73.38259820430349,83.22937842847954,499841.1152719752
58.24205147191828,124.765605274114,499782.87322050333
87.29799775618862,173.06705666655682,499695.57522274717
121.07317940634404,192.47720518831517,499574.5020433408
134.61938551130507,228.42268426019444,499439.8826578295
159.71675807261713,294.14922947522587,499280.1658997569
205.60802652834698,360.1622411092605,499074.55787322856
251.6469357419294,431.78478689116804,498822.9109374866
301.53780201380465,531.0410006594211,498521.3731354728
370.62940437595813,654.66678964851,498150.74373109685
456.57184742323665,797.9861781708496,497694.17188367364
556.014298167102,974.0487463504394,497138.15758550656
677.9315188227818,1193.6998067736417,496460.22606668377
829.6742662972383,1460.0244940586424,495630.5518003865
1013.0858438853111,1782.7367526761632,494617.4659565012
1234.4818291066879,2178.0201195129034,493382.9841273945
1504.4372924766928,2660.3684678461077,491878.5468349178
1832.0094464134122,3245.8348016990217,490046.53738850437
2226.8541477107915,3956.947234842997,487819.6832407936
2702.3874453823028,4820.165644011741,485117.2957954113
3273.6840115124924,5864.501444664188,481843.6117838988
3956.081580372438,7124.295687341161,477887.5302035264
4766.456898648342,8639.848860750439,473121.073304878
5722.772392666245,10455.71274072449,467398.30091221177
6841.775317777108,12620.25612645172,460556.52559443464
8137.277839194675,15185.139813998405,452419.24775523995
9618.069344390222,18202.352931899528,442801.1784108497
11284.032659333414,21719.644148758864,431517.1457515163
13121.358389735462,25774.739260965474,418395.7873617808
15097.659257990756,30386.970944779794,403298.12810379005
17157.011901083526,35545.98130751587,386141.11620270653
19216.070858046605,41198.50929238418,366925.04534465994
21163.470846336644,47234.390609486334,345761.5744983233
22864.572174646735,53473.8143460552,322897.0023236766
24173.148097215653,59659.766360184985,298723.854226461
24950.513489110464,65460.7214454184,273773.3407373505
25089.96055606505,70488.47542987647,248683.38018128547
24541.03726721804,74334.26373265072,224142.34291406744
23326.038444559937,76622.05754315773,200816.3044695075
21541.741811333643,77071.36600995524,179274.56265817388
19343.70960886388,75555.35030295953,159930.85304930998
16917.084276948463,72137.04889203561,143013.7687723615
14443.227722232565,67069.96052152092,128570.54105012894
12072.509557447824,60759.419800381445,116498.03149268113
9909.693921934619,53694.344377744535,106588.3375707465
8012.467265844928,46368.703055143946,98575.87030490157
6399.169361998508,39213.66024863072,92176.70094290307
5060.420167060495,32554.747443743523,87116.28077584258
3970.467926454126,26597.901607091102,83145.81284938846
3096.1058088935033,21439.132958917813,80049.70704049495
2402.674837589027,17088.08703647207,77647.03220290592
1857.574942169808,13495.888607134397,75789.4572607361
1431.9845019004945,10580.50818726015,74357.4727588356
1101.435789032367,8246.344391079883,73256.03696980323
845.7323134101484,6397.412860760732,72410.30465639308
648.5340599645765,4945.056415207119,71761.77059642851
496.8124056762866,3811.6296448826088,71264.95819075222
380.28987819366716,2931.558388163578,70884.66831255856
290.9235615774236,2250.8743351003714,70593.74475098113
222.45670759005398,1725.987090672514,70371.28804339108
170.04390860364603,1322.1731911455652,70201.24413478743
129.94548417211308,1012.056731661908,70071.29865061531
99.28258129390606,774.2212381566515,69972.0160693214
75.84334928450997,592.0099546338573,69896.17272003689
57.93092205749701,452.52513433832695,69838.2417979794
44.244983652216455,345.81313611313203,69793.99681432718
33.7899532883254,264.211916740942,69760.20686103885
25.80406915379956,201.8348502988278,69734.40279188505
19.70476584744959,154.16599539511304,69714.6980260376
15.04669014079533,117.74482179545687,69699.65133589681
11.489482236050904,89.92182050064778,69688.16185366076
8.773080933714962,68.66975339227125,69679.38877272705
6.698813020966304,52.43827689633161,69672.68995970608
5.114922131507063,40.04220583056663,69667.57503757457
3.905500731119409,30.575768754446425,69663.66953684344
2.9820283504825786,0.0,69660.68750849296
